from,to,value
"[""Ameletopsis"", ""Aoteapsyche"", ""Coloburiscus"", ""Coloburiscus"", ""Coloburiscus"", ""Coloburiscus"", ""Orthocladiinae"", ""Cristaperla"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Hydrobiosis"", ""Oligochaetae"", ""Oligochaetae""]","[""Anguilla"", ""Anguilla"", ""Ameletopsis"", ""Anguilla"", ""Hydrobiosella"", ""Stenoperla"", ""Ameletopsis"", ""Stenoperla"", ""Ameletopsis"", ""Anguilla"", ""Costachorema"", ""Hydrobiosis"", ""Stenoperla"", ""Anguilla"", ""Ameletopsis"", ""Polyplectropus""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[""Austroperla"", ""Austroperla"", ""Coloburiscus"", ""Coloburiscus"", ""Orthocladiinae"", ""Cristaperla"", ""Deleatidium"", ""Deleatidium"", ""Hydora.larvae"", ""Hydrobiosella"", ""Hydrobiosella"", ""Oligochaetae"", ""Oligochaetae"", ""Oligochaetae"", ""Oligochaetae"", ""Oligochaetae"", ""Zelandoperla""]","[""Ameletopsis"", ""Stenoperla"", ""Stenoperla"", ""Paranephrops"", ""Stenoperla"", ""Stenoperla"", ""Stenoperla"", ""Paranephrops"", ""Stenoperla"", ""Ameletopsis"", ""Paranephrops"", ""Ameletopsis"", ""Tanypodinae"", ""Hydrobiosella"", ""Stenoperla"", ""Paranephrops"", ""Stenoperla""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[""Costachorema"", ""Deleatidium"", ""Deleatidium"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Megaleptoperla"", ""Megaleptoperla"", ""Oeconesus"", ""Oligochaetae"", ""Oligochaetae"", ""Oligochaetae"", ""Oligochaetae"", ""Oligochaetae"", ""Oligochaetae"", ""Oligochaetae"", ""Paracalliope"", ""Paracalliope"", ""Paracalliope"", ""Paranephrops"", ""Polyplectropus"", ""Stenoperla"", ""Zelandoperla""]","[""Salmo"", ""Hydrobiosella"", ""Salmo"", ""Costachorema"", ""Nannochorista"", ""Philorheithrus"", ""Stenoperla"", ""Hydrobiosella"", ""Salmo"", ""Salmo"", ""Aphrophila"", ""Costachorema"", ""Hexatomini"", ""Hydrobiosella"", ""Nannochorista"", ""Polyplectropus"", ""Salmo"", ""Nannochorista"", ""Philorheithrus"", ""Salmo"", ""Salmo"", ""Salmo"", ""Salmo"", ""Salmo""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[""Amphipoda"", ""Amphipoda"", ""Aoteapsyche"", ""Aphrophila"", ""Austrosimulium"", ""Diamesinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Pirara"", ""Pirara"", ""Coloburiscus"", ""Coloburiscus"", ""Coloburiscus"", ""Costachorema"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Helicopsyche"", ""Hudsonema"", ""Hydora.adult"", ""Hydora.larvae"", ""Hydrobiosis"", ""Oligochaetae"", ""Oligochaetae"", ""Oligochaetae"", ""Polyplectropus"", ""Potamopyrgus"", ""Psilochorema"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Acroperla"", ""Acroperla""]","[""Aoteapsyche"", ""Salmo"", ""Salmo"", ""Salmo"", ""Salmo"", ""Salmo"", ""Aoteapsyche"", ""Aphrophila"", ""Costachorema"", ""Salmo"", ""Aoteapsyche"", ""Costachorema"", ""Hydrobiosis"", ""Polyplectropus"", ""Salmo"", ""Salmo"", ""Costachorema"", ""Hydrobiosis"", ""Polyplectropus"", ""Salmo"", ""Psilochorema"", ""Salmo"", ""Salmo"", ""Salmo"", ""Salmo"", ""Aoteapsyche"", ""Megaleptoperla"", ""Acroperla"", ""Salmo"", ""Salmo"", ""Salmo"", ""Hydrobiosis"", ""Polyplectropus"", ""Salmo"", ""Megaleptoperla"", ""Salmo""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[""Amphipoda"", ""Aphrophila"", ""Archichauliodes"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Diamesinae"", ""Diamesinae"", ""Diamesinae"", ""Pirara"", ""Pirara"", ""Chironominae"", ""Costachorema"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Helicopsyche"", ""Hudsonema"", ""Hudsonema"", ""Hydrobiosis"", ""Hydrobiosis"", ""Hydrobiosis"", ""Hydrobiosis"", ""Oligochaetae"", ""Oligochaetae"", ""Polyplectropus"", ""Psilochorema"", ""Pycnocentrodes"", ""Scirtidae""]","[""Psilochorema"", ""Salmo"", ""Salmo"", ""Costachorema"", ""Polyplectropus"", ""Zelandoperla"", ""Salmo"", ""Tanypodinae"", ""Costachorema"", ""Hydrobiosis"", ""Nannochorista"", ""Philorheithrus"", ""Polyplectropus"", ""Psilochorema"", ""Costachorema"", ""Nannochorista"", ""Polyplectropus"", ""Philorheithrus"", ""Psilochorema"", ""Salmo"", ""Salmo"", ""Archichauliodes"", ""Costachorema"", ""Polyplectropus"", ""Psilochorema"", ""Salmo"", ""Salmo"", ""Philorheithrus"", ""Salmo"", ""Costachorema"", ""Hydrobiosis"", ""Polyplectropus"", ""Salmo"", ""Hydrobiosis"", ""Psilochorema"", ""Salmo"", ""Salmo"", ""Salmo"", ""Salmo""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[""Aphrophila"", ""Austrosimulium"", ""Austrosimulium"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Diamesinae"", ""Diamesinae"", ""Diamesinae"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Chironominae"", ""Chironominae"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Hudsonema"", ""Hydrobiosella"", ""Hydrobiosis"", ""Hydrobiosis"", ""Megaleptoperla"", ""Megaleptoperla"", ""Oligochaetae"", ""Oligochaetae"", ""Oniscigaster"", ""Oniscigaster"", ""Hydraenidae"", ""Hydraenidae"", ""Paranephrops"", ""Polyplectropus"", ""Psilochorema"", ""Psilochorema"", ""Pycnocentria"", ""Stenoperla"", ""Stenoperla"", ""Stenoperla""]","[""Salmo"", ""Costachorema"", ""Psilochorema"", ""Costachorema"", ""Hydrobiosis"", ""Polyplectropus"", ""Psilochorema"", ""Salmo"", ""Hydrobiosis"", ""Polyplectropus"", ""Salmo"", ""Aoteapsyche"", ""Costachorema"", ""Hydrobiosis"", ""Polyplectropus"", ""Psilochorema"", ""Hydrobiosis"", ""Polyplectropus"", ""Aoteapsyche"", ""Diamesinae"", ""Costachorema"", ""Hydrobiosis"", ""Paranephrops"", ""Polyplectropus"", ""Psilochorema"", ""Salmo"", ""Salmo"", ""Hydrobiosis"", ""Aoteapsyche"", ""Salmo"", ""Hydrobiosis"", ""Polyplectropus"", ""Costachorema"", ""Psilochorema"", ""Hydrobiosis"", ""Polyplectropus"", ""Hydrobiosis"", ""Polyplectropus"", ""Paranephrops"", ""Salmo"", ""Hydrobiosis"", ""Polyplectropus"", ""Psilochorema"", ""Hydrobiosis"", ""Polyplectropus"", ""Salmo""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[""Austrosimulium"", ""Cristaperla"", ""Cristaperla"", ""Cristaperla"", ""Deleatidium"", ""Deleatidium"", ""Hydora.larvae"", ""Hydrobiosella"", ""Isopoda"", ""Oligochaeta"", ""Oligochaeta"", ""Oligochaeta"", ""Oligochaeta"", ""Oligochaetae"", ""Oligochaetae"", ""Oligochaetae"", ""Oligochaetae"", ""Paracalliope"", ""Paracalliope"", ""Chironominae"", ""Spaniocerca""]","[""Galaxias"", ""Aoteapsyche"", ""Hydrobiosis"", ""Stenoperla"", ""Stenoperla"", ""Galaxias"", ""Hydrobiosis"", ""Galaxias"", ""Galaxias"", ""Aoteapsyche"", ""Psilochorema"", ""Stenoperla"", ""Galaxias"", ""Aoteapsyche"", ""Stenoperla"", ""Paranephrops"", ""Galaxias"", ""Psilochorema"", ""Galaxias"", ""Galaxias"", ""Galaxias""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[""Ameletopsis"", ""Ameletopsis"", ""Ameletopsis"", ""Aoteapsyche"", ""Aoteapsyche"", ""Aoteapsyche"", ""Aoteapsyche"", ""Aoteapsyche"", ""Aoteapsyche"", ""Aoteapsyche"", ""Aoteapsyche"", ""Aphrophila"", ""Aphrophila"", ""Aphrophila"", ""Archichauliodes"", ""Atalophlebioides"", ""Atalophlebioides"", ""Atalophlebioides"", ""Austroclima"", ""Austroclima"", ""Austrosimulium"", ""Beraeoptera"", ""Beraeoptera"", ""Beraeoptera"", ""Beraeoptera"", ""Tanypodinae"", ""Tanypodinae"", ""Tanypodinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Diamesinae"", ""Diamesinae"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Coloburiscus"", ""Coloburiscus"", ""Coloburiscus"", ""Coloburiscus"", ""Costachorema"", ""Costachorema"", ""Costachorema"", ""Costachorema"", ""Costachorema"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Helicopsyche"", ""Helicopsyche"", ""Hudsonema"", ""Hydora.adult"", ""Hydora.adult"", ""Hydora.adult"", ""Hydora.larvae"", ""Hydrobiosella"", ""Hydrobiosella"", ""Hydrobiosella"", ""Hydrobiosis"", ""Hydrobiosis"", ""Hydrobiosis"", ""Hydrobiosis"", ""Megaleptoperla"", ""Megaleptoperla"", ""Nesameletus"", ""Nesameletus"", ""Nesameletus"", ""Nesameletus"", ""Nesameletus"", ""Nesameletus"", ""Nesameletus"", ""Nesameletus"", ""Nesameletus"", ""Oligochaetae"", ""Oligochaetae"", ""Olinga"", ""Olinga"", ""Oniscigaster"", ""Oniscigaster"", ""Oniscigaster"", ""Oniscigaster"", ""Philorheithrus"", ""Philorheithrus"", ""Polyplectropus"", ""Potamopyrgus"", ""Potamopyrgus"", ""Potamopyrgus"", ""Psilochorema"", ""Psilochorema"", ""Psilochorema"", ""Psilochorema"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Scirtidae"", ""Stenoperla"", ""Stenoperla"", ""Stenoperla"", ""Tanyderidae"", ""Tiphobiosis"", ""Tiphobiosis"", ""Tiphobiosis"", ""Zelandoperla"", ""Zelandoperla"", ""Zephlebia"", ""Zephlebia"", ""Zephlebia""]","[""Anguilla"", ""Gobiomorphus"", ""Salmo"", ""Costachorema"", ""Megaleptoperla"", ""Polyplectropus"", ""Stenoperla"", ""Anguilla"", ""Galaxias"", ""Gobiomorphus"", ""Salmo"", ""Galaxias"", ""Gobiomorphus"", ""Salmo"", ""Salmo"", ""Archichauliodes"", ""Paranephrops"", ""Salmo"", ""Ameletopsis"", ""Salmo"", ""Archichauliodes"", ""Archichauliodes"", ""Costachorema"", ""Paranephrops"", ""Salmo"", ""Archichauliodes"", ""Anguilla"", ""Gobiomorphus"", ""Ameletopsis"", ""Aoteapsyche"", ""Aphrophila"", ""Archichauliodes"", ""Beraeoptera"", ""Tanypodinae"", ""Costachorema"", ""Hydora.larvae"", ""Hydrobiosis"", ""Megaleptoperla"", ""Polyplectropus"", ""Psilochorema"", ""Stenoperla"", ""Tanyderidae"", ""Galaxias"", ""Gobiomorphus"", ""Salmo"", ""Costachorema"", ""Salmo"", ""Ameletopsis"", ""Tanypodinae"", ""Polyplectropus"", ""Gobiomorphus"", ""Salmo"", ""Ameletopsis"", ""Aoteapsyche"", ""Archichauliodes"", ""Costachorema"", ""Hydora.larvae"", ""Pycnocentria"", ""Pycnocentrodes"", ""Galaxias"", ""Gobiomorphus"", ""Salmo"", ""Anguilla"", ""Galaxias"", ""Paranephrops"", ""Salmo"", ""Archichauliodes"", ""Megaleptoperla"", ""Stenoperla"", ""Gobiomorphus"", ""Salmo"", ""Ameletopsis"", ""Aoteapsyche"", ""Aphrophila"", ""Archichauliodes"", ""Costachorema"", ""Hydora.larvae"", ""Hydraenidae"", ""Psilochorema"", ""Tanyderidae"", ""Zelandoperla"", ""Anguilla"", ""Galaxias"", ""Gobiomorphus"", ""Salmo"", ""Anguilla"", ""Paranephrops"", ""Archichauliodes"", ""Archichauliodes"", ""Galaxias"", ""Salmo"", ""Paranephrops"", ""Aoteapsyche"", ""Archichauliodes"", ""Costachorema"", ""Anguilla"", ""Galaxias"", ""Gobiomorphus"", ""Salmo"", ""Megaleptoperla"", ""Stenoperla"", ""Hydrobiosis"", ""Megaleptoperla"", ""Philorheithrus"", ""Pycnocentria"", ""Pycnocentrodes"", ""Stenoperla"", ""Tiphobiosis"", ""Gobiomorphus"", ""Salmo"", ""Pycnocentria"", ""Pycnocentrodes"", ""Archichauliodes"", ""Anguilla"", ""Ameletopsis"", ""Aoteapsyche"", ""Megaleptoperla"", ""Stenoperla"", ""Aoteapsyche"", ""Paranephrops"", ""Gobiomorphus"", ""Anguilla"", ""Gobiomorphus"", ""Salmo"", ""Archichauliodes"", ""Galaxias"", ""Gobiomorphus"", ""Salmo"", ""Archichauliodes"", ""Tanypodinae"", ""Costachorema"", ""Anguilla"", ""Galaxias"", ""Gobiomorphus"", ""Paranephrops"", ""Salmo"", ""Gobiomorphus"", ""Archichauliodes"", ""Gobiomorphus"", ""Salmo"", ""Gobiomorphus"", ""Archichauliodes"", ""Costachorema"", ""Philorheithrus"", ""Archichauliodes"", ""Salmo"", ""Anguilla"", ""Gobiomorphus"", ""Salmo""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[""Aphrophila"", ""Chironomidae"", ""Diamesinae"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Costachorema"", ""Costachorema"", ""Costachorema"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Helicopsyche"", ""Helicopsyche"", ""Helicopsyche"", ""Hudsonema"", ""Hydrobiosis"", ""Hydrobiosis"", ""Hydrobiosis"", ""Hydrobiosis"", ""Nesameletus"", ""Nesameletus"", ""Nesameletus"", ""Nesameletus"", ""Oligochaetae"", ""Olinga"", ""Olinga"", ""Oniscigaster"", ""Polyplectropus"", ""Polyplectropus"", ""Polyplectropus"", ""Potamopyrgus"", ""Potamopyrgus"", ""Psilochorema"", ""Psilochorema"", ""Pycnocentria"", ""Pycnocentria"", ""Pycnocentria"", ""Pycnocentria"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Stenoperla"", ""Stenoperla"", ""Stenoperla"", ""Stenoperla"", ""Stenoperla"", ""Zelandoperla"", ""Zephlebia"", ""Zephlebia""]","[""Hydrobiosis"", ""Tiphobiosis"", ""Gobiomorphus"", ""Archichauliodes"", ""Hydrobiosis"", ""Salmo"", ""Gobiomorphus"", ""Paranephrops"", ""Salmo"", ""Galaxias"", ""Paranephrops"", ""Archichauliodes"", ""Stenoperla"", ""Salmo"", ""Galaxias"", ""Gobiomorphus"", ""Paranephrops"", ""Salmo"", ""Galaxias"", ""Gobiomorphus"", ""Salmo"", ""Stenoperla"", ""Salmo"", ""Galaxias"", ""Gobiomorphus"", ""Stenoperla"", ""Salmo"", ""Galaxias"", ""Gobiomorphus"", ""Paranephrops"", ""Salmo"", ""Galaxias"", ""Paranephrops"", ""Salmo"", ""Galaxias"", ""Gobiomorphus"", ""Salmo"", ""Paranephrops"", ""Salmo"", ""Galaxias"", ""Salmo"", ""Galaxias"", ""Gobiomorphus"", ""Paranephrops"", ""Salmo"", ""Galaxias"", ""Chironomidae"", ""Stenoperla"", ""Salmo"", ""Galaxias"", ""Gobiomorphus"", ""Salmo"", ""Stenoperla"", ""Salmo""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[""Aoteapsyche"", ""Aoteapsyche"", ""Aoteapsyche"", ""Aphrophila"", ""Austroclima"", ""Austrosimulium"", ""Austrosimulium"", ""Chironomidae"", ""Diamesinae"", ""Diamesinae"", ""Diamesinae"", ""Diamesinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Coloburiscus"", ""Coloburiscus"", ""Costachorema"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Helicopsyche"", ""Helicopsyche"", ""Hudsonema"", ""Hudsonema"", ""Hudsonema"", ""Hydora.larvae"", ""Hydrobiosis"", ""Hydrobiosis"", ""Blephariceridae"", ""Nesameletus"", ""Nesameletus"", ""Oligochaetae"", ""Oxyethira"", ""Potamopyrgus"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Scirtidae"", ""Austroperla"", ""Austroperla"", ""Austroperla"", ""Zelandoperla""]","[""Archichauliodes"", ""Salmo"", ""Gobiomorphus"", ""Galaxias"", ""Salmo"", ""Galaxias"", ""Salmo"", ""Galaxias"", ""Galaxias"", ""Salmo"", ""Gobiomorphus"", ""Paranephrops"", ""Austroperla"", ""Galaxias"", ""Gobiomorphus"", ""Aoteapsyche"", ""Archichauliodes"", ""Psilochorema"", ""Galaxias"", ""Salmo"", ""Galaxias"", ""Salmo"", ""Gobiomorphus"", ""Austroperla"", ""Galaxias"", ""Salmo"", ""Gobiomorphus"", ""Paranephrops"", ""Galaxias"", ""Paranephrops"", ""Galaxias"", ""Salmo"", ""Paranephrops"", ""Salmo"", ""Galaxias"", ""Salmo"", ""Salmo"", ""Galaxias"", ""Salmo"", ""Hydrobiosis"", ""Paranephrops"", ""Salmo"", ""Galaxias"", ""Salmo"", ""Paranephrops"", ""Galaxias"", ""Galaxias"", ""Salmo"", ""Gobiomorphus"", ""Galaxias""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[""Aoteapsyche"", ""Archichauliodes"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Diamesinae"", ""Diamesinae"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Costachorema"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Hudsonema"", ""Hydora.adult"", ""Hydora.adult"", ""Hydrobiosis"", ""Hydrobiosis"", ""Hydrobiosis"", ""Oligochaetae"", ""Olinga"", ""Oxyethira"", ""Oxyethira"", ""Psilochorema"", ""Psilochorema"", ""Scirtidae"", ""Acroperla""]","[""Salmo"", ""Salmo"", ""Hydrobiosis"", ""Psilochorema"", ""Salmo"", ""Galaxias"", ""Archichauliodes"", ""Costachorema"", ""Hydrobiosis"", ""Psilochorema"", ""Salmo"", ""Galaxias"", ""Salmo"", ""Galaxias"", ""Archichauliodes"", ""Costachorema"", ""Hydrobiosis"", ""Psilochorema"", ""Salmo"", ""Galaxias"", ""Hydrobiosis"", ""Psilochorema"", ""Salmo"", ""Galaxias"", ""Archichauliodes"", ""Archichauliodes"", ""Hydrobiosis"", ""Psilochorema"", ""Salmo"", ""Galaxias"", ""Hydrobiosis"", ""Salmo"", ""Galaxias"", ""Hydrobiosis"", ""Salmo"", ""Galaxias"", ""Hydrobiosis"", ""Salmo"", ""Salmo"", ""Galaxias"", ""Salmo"", ""Galaxias"", ""Salmo"", ""Salmo""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"[""Aoteapsyche"", ""Aoteapsyche"", ""Aphrophila"", ""Archichauliodes"", ""Austroclima"", ""Austroclima"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Austrosimulium"", ""Beraeoptera"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Orthocladiinae"", ""Tanypodinae"", ""Diamesinae"", ""Diamesinae"", ""Diamesinae"", ""Chironominae"", ""Chironominae"", ""Chironominae"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Pirara"", ""Podonominae"", ""Costachorema"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Deleatidium"", ""Eriopterini"", ""Hydora.adult"", ""Hydora.adult"", ""Hydora.adult"", ""Hydrobiosis"", ""Nesameletus"", ""Oligochaetae"", ""Olinga"", ""Olinga"", ""Olinga"", ""Oxyethira"", ""Oxyethira"", ""Oxyethira"", ""Philorheithrus"", ""Psilochorema"", ""Pycnocentrodes"", ""Pycnocentrodes"", ""Stenoperla"", ""Zelandoperla"", ""Zelandoperla""]","[""Archichauliodes"", ""Galaxias"", ""Galaxias"", ""Galaxias"", ""Acroperla"", ""Zelandoperla"", ""Acroperla"", ""Aoteapsyche"", ""Archichauliodes"", ""Tanypodinae"", ""Chironominae"", ""Pirara"", ""Costachorema"", ""Hydrobiosis"", ""Psilochorema"", ""Zelandoperla"", ""Galaxias"", ""Costachorema"", ""Acroperla"", ""Aoteapsyche"", ""Archichauliodes"", ""Tanypodinae"", ""Costachorema"", ""Hydrobiosis"", ""Philorheithrus"", ""Psilochorema"", ""Pycnocentrodes"", ""Zelandoperla"", ""Galaxias"", ""Archichauliodes"", ""Archichauliodes"", ""Hydrobiosis"", ""Galaxias"", ""Acroperla"", ""Zelandoperla"", ""Galaxias"", ""Acroperla"", ""Aoteapsyche"", ""Archichauliodes"", ""Tanypodinae"", ""Costachorema"", ""Helicopsyche"", ""Hydrobiosis"", ""Philorheithrus"", ""Zelandoperla"", ""Galaxias"", ""Galaxias"", ""Galaxias"", ""Ameletopsis"", ""Archichauliodes"", ""Psilochorema"", ""Stenoperla"", ""Galaxias"", ""Costachorema"", ""Aoteapsyche"", ""Archichauliodes"", ""Galaxias"", ""Galaxias"", ""Hydrobiosis"", ""Orthocladiinae"", ""Aoteapsyche"", ""Archichauliodes"", ""Costachorema"", ""Archichauliodes"", ""Hydrobiosis"", ""Galaxias"", ""Archichauliodes"", ""Galaxias"", ""Archichauliodes"", ""Galaxias"", ""Galaxias"", ""Archichauliodes"", ""Galaxias""]","Bool[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
